X,Y,GRUP
190,169,0
189,179,0
180,172,0
-51,28,2
-173,-176,4
-89,-81,5
170,162,0
-55,32,2
-46,19,2
-57,13,2
192,149,0
-170,-173,4
-172,-176,4
-38,17,2
-135,-106,3
-143,-99,3
-62,-74,5
186,159,0
-173,-171,4
159,185,0
21,-67,1
-168,-172,4
-65,-79,5
-42,19,2
13,-75,1
18,-75,1
-69,-66,5
-172,-160,4
189,166,0
-76,-81,5
27,-74,1
-45,16,2
-165,-81,3
22,-73,1
-168,-168,4
-45,-73,5
-51,-60,5
170,170,0
170,169,0
-71,-68,5
-69,-77,5
-47,5,2
185,159,0
-143,-100,3
14,-82,1
16,-82,1
-87,-105,5
-66,-88,5
-46,15,2
179,175,0
165,199,0
-36,16,2
-60,16,2
22,-86,1
-174,-169,4
-143,-105,3
23,-45,1
-165,-169,4
176,155,0
21,-80,1
-173,-175,4
194,163,0
181,173,0
-179,-172,4
170,153,0
183,160,0
31,-71,1
-136,-112,3
-67,21,2
-56,-81,5
164,156,0
-163,-168,4
186,171,0
166,176,0
-42,21,2
-69,-102,5
193,172,0
-51,11,2
-58,1,2
-169,-167,4
196,178,0
-158,-170,4
-148,-100,3
-49,8,2
7,-60,1
-172,-172,4
-161,-105,3
170,147,0
-62,-91,5
-144,-85,3
-163,-85,3
-69,-75,5
-167,-167,4
-60,-72,5
-70,-82,5
-44,-63,5
-170,-172,4
35,-84,1
-162,-167,4
-173,-159,4
-57,21,2
-157,-109,3
6,-83,1
-156,-101,3
-49,-75,5
-174,-171,4
-49,8,2
-165,-172,4
-154,-104,3
184,169,0
-170,-164,4
17,-82,1
-149,-96,3
-167,-100,3
-61,16,2
183,173,0
-100,-81,5
-70,-79,5
179,185,0
-35,34,2
-141,-89,3
-59,16,2
36,-78,1
162,176,0
-19,15,2
-87,-65,5
-154,-102,3
-80,-82,5
14,-70,1
-147,-89,3
-86,-82,5
-158,-175,4
5,-93,1
-153,-111,3
18,-92,1
183,166,0
